country,region
Bolivia,Andean
Colombia,Andean
Ecuador,Andean
Peru,Andean
Venezuela,Andean
Haiti,Central America
Mexico,Central America
Panama,Central America
Dominican Republic,Central America
Belize,Central America
Costa Rica,Central America
El Salvador,Central America
Guatemala,Central America
Honduras,Central America
Nicaragua,Central America
Argentina,Southern Cone
Brazil,Southern Cone
Chile,Southern Cone
Paraguay,Southern Cone
Uruguay,Southern Cone
Bahamas,Caribbean
Barbados,Caribbean
Guyana,Caribbean
Jamiaca,Caribbean
Suriname,Caribbean
Trinidad,Caribbean
Tobago,Caribbean
